Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER
2024,585.5435873718751,390.3623915812501,199.6171320585938,155.25776937890626,88.71872535937501,601.61075810625,150.4026895265625,383.52685829273435,67.68121028695312,126.33825920231247,54.144968229562494
2025,584.1039788718751,389.40265258125015,199.1263564335938,154.8760550039063,88.50060285937502,600.1316471062499,150.03291177656249,382.58392503023435,67.51481029945312,126.02764589231248,54.0118482395625
2026,585.562027771875,390.3746851812501,199.62341855859378,155.26265887890625,88.72151935937501,601.62970450625,150.4074261265625,383.5389366227344,67.68334175695313,126.3422379463125,54.1466734055625
2027,585.562027771875,390.3746851812501,199.62341855859378,155.26265887890625,88.72151935937501,601.62970450625,150.4074261265625,383.5389366227344,67.68334175695313,126.3422379463125,54.1466734055625
2028,588.3398225718751,392.2265483812501,200.5703940585938,155.99919537890625,89.14239735937502,604.4837213062501,151.12093032656253,385.35837233273446,68.00441864695314,126.94158147431251,54.4035349175625
2029,587.7924779718751,391.8616519812501,200.38379930859378,155.85406612890625,89.05946635937501,603.9213577062501,150.98033942656252,384.9998655377344,67.94115274195313,126.8234851183125,54.3529221935625
2030,587.5330550718752,391.68870338125015,200.2953596835938,155.78527975390628,89.02015985937503,603.6548163062502,150.91370407656254,384.8299453952344,67.91116683445313,126.7675114243125,54.32893346756251
2031,587.2457803172814,391.4971868781876,200.19742510816408,155.70910841746095,88.97663338140626,611.1086308646876,152.7771577161719,389.58175217623824,68.74972097227734,128.33281248158437,54.99977677782188
2032,587.4870566162814,391.6580377441876,200.2796783919141,155.77308319371096,89.01319039640627,611.3597114746876,152.8399278686719,389.74181606511337,68.77796754090235,128.38553940968438,55.022374032721885
2033,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2034,587.1460417442813,391.4306944961876,200.16342332191408,155.68266258371094,88.96152147640626,611.0048393946876,152.7512098486719,389.5155851141133,68.73804443190235,128.3110162728844,54.990435545521876
2035,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2036,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2037,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2038,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2039,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2040,587.2151551952813,391.4767701301876,200.1869847256641,155.70098811996095,88.97199321140627,611.0767612846874,152.76919032117186,389.5614353189883,68.74613564452734,128.32611986978438,54.996908515621875
2041,577.803605383125,385.2024035887501,196.97850183515627,153.20550142734376,87.546000815625,611.0483833265624,152.7620958316406,389.54334437068354,68.74294312423828,128.3201604985781,54.99435449939062
2042,577.803605383125,385.2024035887501,196.97850183515627,153.20550142734376,87.546000815625,611.0483833265624,152.7620958316406,389.54334437068354,68.74294312423828,128.3201604985781,54.99435449939062
2043,577.803605383125,385.2024035887501,196.97850183515627,153.20550142734376,87.546000815625,611.0483833265624,152.7620958316406,389.54334437068354,68.74294312423828,128.3201604985781,54.99435449939062
2044,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2045,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2046,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2047,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2048,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2049,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
2050,578.0711489231252,385.38076594875014,197.06970986015628,153.27644100234377,87.58653771562501,611.3313203765626,152.83283009414066,389.72371674005865,68.77477354236329,128.37957727907812,55.019818833890625
