Year,Total Production of Crude Steel_Ensemble,Production of Hot Rolled Flat Products_Ensemble,Production of Hot Rolled Long Products_Ensemble,Apparent Steel Use (crude steel equivalent)_Ensemble,Apparent Steel Use (finished steel products)_Ensemble,True Steel Use (finished steel equivalent)_Ensemble,Production of Railway Track Material_Ensemble,Total Production of Tubular Products_Ensemble,Production of Wire Rod_Ensemble,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_Ensemble",Production of Non-metallic Coated Sheet and Strip_Ensemble,Production of Other Metal Coated Sheet and Strip_Ensemble,Total_Steel_Consumption_Ensemble
2024,5485.421787109375,3250.2890966796876,1827.4227319335937,7044.615234375,6365.3934375,10529.430859375,84.18622039794923,155.86933166503906,603.4421508789062,2635.005576171875,864.021982421875,1680.5397705078126,40525.63817901611
2025,5435.866787109375,3228.4540966796876,1817.5427319335936,7020.540234375,6347.3234375,10562.375859374999,84.59622039794922,157.52433166503906,602.8421508789063,2622.440576171875,848.8719824218749,1667.5447705078125,40395.92317901611
2026,5432.406787109375,3243.5690966796874,1822.3677319335939,7046.955234375,6366.6834375,10565.175859375,84.17622039794921,156.39433166503906,602.7921508789062,2625.6855761718753,849.041982421875,1667.6647705078126,40462.91317901613
2027,5432.406787109375,3243.5690966796874,1822.3677319335939,7046.955234375,6366.6834375,10565.175859375,84.17622039794921,156.39433166503906,602.7921508789062,2625.6855761718753,849.041982421875,1667.6647705078126,40462.91317901613
2028,5429.576787109375,3243.5690966796874,1822.3677319335939,7046.955234375,6366.6834375,10565.175859375,84.17622039794921,156.39433166503906,602.8421508789063,2625.6855761718753,849.041982421875,1667.6647705078126,40460.13317901612
2029,5438.061787109375,3229.6740966796874,1816.0277319335937,7030.880234374999,6358.0334375,10565.175859375,84.17622039794921,156.39433166503906,602.7921508789062,2625.6855761718753,849.041982421875,1667.6647705078126,40423.60817901612
2030,5431.356787109375,3219.1590966796875,1834.1477319335936,6939.5502343749995,6280.3784375,10563.855859375,84.29122039794922,156.39433166503906,603.9971508789063,2621.955576171875,834.876982421875,1649.2047705078126,40219.168179016124
2031,5411.478876953125,3172.724111328125,1829.9027319335937,6940.710234374999,6278.2984375,10678.4865625,84.57122039794922,157.8084292602539,623.8121508789063,2606.295849609375,830.4974169921875,1641.6297705078125,40256.215792236326
2032,5406.153876953125,3160.754111328125,1832.6877319335938,6944.830234375,6279.4834375,10727.6215625,84.93622039794923,163.0634292602539,620.9971508789063,2618.1758496093753,824.1474169921876,1634.6347705078124,40297.48579223634
2033,5426.918876953125,3161.3091113281253,1835.1227319335937,6931.890234375,6269.8984375,10651.5015625,85.22622039794922,163.9484292602539,621.9771508789063,2622.445849609375,828.2874169921874,1642.7047705078126,40241.230792236325
2034,5449.608876953125,3165.4491113281247,1836.0127319335938,6922.935234375,6264.4034375,10631.2015625,85.51122039794922,165.2334292602539,624.0871508789062,2626.270849609375,822.9724169921875,1649.0397705078126,40242.725792236335
2035,5478.683876953125,3163.049111328125,1838.5277319335937,6957.440234375,6252.6434375,10535.4065625,85.51122039794922,166.8434292602539,622.4621508789062,2626.930849609375,804.3824169921875,1639.1847705078126,40171.065792236324
2036,5630.673876953125,3168.2691113281253,1879.7577319335937,6981.330234375,6298.2934375,10534.8115625,86.20122039794921,205.0134292602539,634.3971508789062,2631.705849609375,805.0874169921875,1543.1097705078125,40398.65079223632
2037,5630.673876953125,3167.359111328125,1877.7877319335937,6981.330234375,6298.2934375,10538.0815625,86.20122039794921,205.0134292602539,634.3971508789062,2631.000849609375,805.0874169921875,1543.1097705078125,40398.33579223632
2038,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2039,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2040,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2041,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2042,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2043,5627.2838769531245,3167.359111328125,1875.0377319335937,6981.730234375,6298.7934375,10530.5815625,86.20122039794921,203.2834292602539,634.3971508789062,2631.000849609375,805.0874169921875,1542.9597705078127,40383.71579223632
2044,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2045,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2046,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2047,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2048,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2049,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
2050,5611.988876953124,3166.804111328125,1872.6027319335938,6982.480234375,6299.4684375,10563.7365625,86.18122039794922,203.2834292602539,634.3971508789062,2630.570849609375,801.6674169921876,1542.0147705078125,40395.19579223633
