Year,SEMI_FINISHED,FINISHED_FLAT,FINISHED_LONG,TUBE_PIPE
2024,1765.7820637078125,1466.6532589921871,3033.831120970313,719.4599625796876
2025,1761.4407389578128,1463.0473677421874,3026.3721902203124,717.6911093296876
2026,1765.8376731078126,1466.6994479921875,3033.9266647703125,719.4826203796877
2027,1765.8376731078126,1466.6994479921875,3033.9266647703125,719.4826203796877
2028,1774.214470907813,1473.6571909921877,3048.3190353703126,722.8957089796876
2029,1772.5638828078124,1472.2862174921872,3045.4831216703124,722.2231842796875
2030,1771.7815596578125,1471.6364222421876,3044.1389941203124,721.9044302296875
2031,1772.6506538828125,1513.6882809921876,3080.58800846875,727.9325879062501
2032,1773.3789666328123,1514.3101962421877,3081.8537014687504,728.2316669062501
2033,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2034,1772.3495846328124,1513.4311942421875,3080.0647974687504,727.80895490625
2035,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2036,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2037,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2038,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2039,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2040,1772.5582093828125,1513.6093414921875,3080.42735446875,727.89462590625
2041,1736.0215882968753,1549.0817891484376,3085.038772664063,724.347381140625
2042,1736.0215882968753,1549.0817891484376,3085.038772664063,724.347381140625
2043,1736.0215882968753,1549.0817891484376,3085.038772664063,724.347381140625
2044,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2045,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2046,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2047,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2048,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2049,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
2050,1736.8254277968754,1549.7990688984376,3086.4672549140632,724.6827796406251
